temp,mudweight,gel30min,tauy,m,K,fluidloss
32.00,9.40,24.00,1.60,0.64,0.33,9.10
36.00,9.65,23.00,2.55,0.62,0.37,9.80
41.00,9.60,26.00,2.15,0.63,0.32,10.20
44.00,9.50,27.00,1.15,0.61,0.33,9.90
29.00,9.50,11.00,1.55,0.69,0.16,5.60
30.80,9.40,14.00,1.81,0.61,0.29,5.90
25.00,9.50,45.00,4.79,0.72,0.12,7.80
26.00,9.00,20.00,0.87,0.62,0.41,8.20
40.00,9.40,19.00,1.56,0.66,0.20,5.20
52.00,9.50,56.00,2.41,0.56,0.47,8.20
54.00,9.40,48.00,1.80,0.62,0.29,7.70
44.00,9.40,45.00,1.25,0.72,0.15,7.70
43.00,9.40,54.00,2.33,0.55,0.51,7.70
38.00,9.70,40.00,2.44,0.63,0.31,5.30
46.00,9.70,40.00,1.91,0.58,0.44,5.30
47.00,9.90,41.00,1.91,0.58,0.44,5.40
47.00,9.70,39.00,1.91,0.58,0.44,5.40
48.00,9.80,36.00,5.19,0.70,0.21,5.60
50.00,9.90,38.00,5.29,0.61,0.39,5.70
48.00,9.80,33.00,2.33,0.59,0.37,5.70
18.00,9.00,47.00,3.74,1.02,0.02,8.30
35.00,9.95,18.00,1.92,0.70,0.21,5.40
35.00,9.80,13.00,1.38,0.69,0.22,6.20
35.00,9.80,16.00,1.20,0.60,0.48,6.30
39.00,10.10,22.00,1.86,0.64,0.40,5.40
38.00,10.10,20.00,1.22,0.61,0.46,5.60
39.00,10.30,19.00,1.36,0.61,0.43,6.10
27.00,9.50,12.00,1.62,0.65,0.22,5.50
35.70,9.50,17.00,3.04,0.63,0.29,5.00
34.80,9.70,15.00,2.39,0.62,0.33,5.50
25.00,9.50,45.00,4.79,0.72,0.12,7.80
28.00,9.00,21.00,0.58,0.69,0.17,9.00
29.00,8.90,21.00,0.30,0.64,0.26,7.70
33.00,8.90,44.00,1.27,0.62,0.36,6.90
33.00,8.90,59.00,2.22,0.58,0.51,7.00
32.00,9.30,56.00,1.80,0.60,0.29,8.30
37.00,9.30,48.00,1.86,0.60,0.26,8.50
22.00,9.20,34.00,1.07,0.63,0.34,6.00
28.00,9.30,10.00,0.84,0.73,0.10,5.60
36.00,9.30,19.00,2.14,0.62,0.34,5.70
33.00,9.30,55.00,2.45,0.56,0.46,6.80
37.00,9.40,36.00,0.96,0.58,0.41,6.40
35.00,9.50,38.00,0.89,0.58,0.44,6.30
48.00,9.70,42.00,2.46,0.60,0.41,5.50
50.00,10.00,53.00,2.79,0.58,0.48,5.60
49.00,9.80,47.00,2.35,0.59,0.45,5.50
49.00,9.70,46.00,2.80,0.58,0.48,5.60
37.00,9.20,16.00,0.65,0.58,0.35,6.00
47.00,9.70,46.00,4.31,0.61,0.38,5.20
46.00,9.90,48.00,3.15,0.58,0.44,5.80
48.00,9.80,45.00,2.27,0.58,0.40,6.10
44.00,9.50,38.00,2.75,0.67,0.21,6.10
35.00,9.00,14.00,1.00,0.69,0.19,6.80
28.00,8.70,52.00,3.50,0.64,0.37,7.00
20.00,9.10,33.00,2.16,0.70,0.16,8.10
23.00,9.30,31.00,1.70,0.67,0.28,6.00
27.00,9.40,25.00,1.37,0.66,0.24,6.20
32.00,9.30,18.00,1.01,0.68,0.20,6.70
44.00,9.50,32.00,1.15,0.61,0.33,9.10
40.00,10.00,17.00,1.84,0.68,0.24,6.00
41.00,10.20,19.00,1.75,0.62,0.45,5.60
38.00,10.10,28.00,1.67,0.60,0.49,7.00
35.50,9.60,15.00,1.97,0.60,0.33,4.90
34.00,9.70,17.00,2.41,0.60,0.34,5.00
37.00,9.70,15.00,2.03,0.68,0.20,5.20
38.00,9.70,29.00,3.72,0.65,0.31,5.90
25.00,9.50,45.00,4.79,0.72,0.12,7.80
33.00,8.90,34.00,1.82,0.63,0.27,6.40
35.00,8.95,36.00,1.78,0.64,0.28,6.30
36.00,9.00,36.00,1.66,0.61,0.33,6.80
34.00,9.00,34.00,0.00,0.45,1.14,6.20
45.00,9.40,58.00,1.88,0.57,0.35,8.60
56.00,9.40,57.00,1.49,0.55,0.41,7.00
24.00,9.20,32.00,1.86,0.62,0.26,6.20
28.00,9.30,31.00,0.69,0.58,0.34,6.70
30.00,9.70,38.00,1.86,0.62,0.26,7.10
29.00,9.70,35.00,2.01,0.57,0.41,6.20
40.00,9.00,30.00,1.21,0.62,0.30,6.50
40.00,9.20,22.00,1.70,0.60,0.32,6.80
44.00,9.20,25.00,1.67,0.61,0.33,6.60
48.00,9.30,20.00,1.72,0.60,0.34,7.00
54.00,9.30,35.00,2.89,0.60,0.42,7.00
47.00,9.40,39.00,1.91,0.58,0.44,6.80
38.00,9.20,14.00,1.16,0.59,0.34,5.80
39.00,9.10,10.00,0.84,0.62,0.26,5.40
41.00,9.10,9.00,0.41,0.62,0.25,5.60
43.00,9.20,26.00,2.62,0.64,0.33,6.30
35.00,9.50,38.00,0.89,0.58,0.44,6.30
49.00,9.70,46.00,2.80,0.58,0.48,5.60
40.00,9.10,22.00,1.64,0.53,0.59,5.80
41.00,9.20,25.00,2.20,0.51,0.68,5.60
43.00,9.20,24.00,2.67,0.55,0.55,5.40
38.00,9.10,16.00,1.10,0.70,0.17,6.00
41.00,9.40,22.00,1.01,0.68,0.20,5.90
44.00,9.40,22.00,0.85,0.63,0.27,5.80
49.00,9.40,27.00,1.78,0.64,0.28,5.80
29.00,8.90,37.00,1.58,0.65,0.26,7.40
29.00,9.20,68.00,1.50,0.71,0.19,7.10
30.00,9.10,77.00,3.83,0.66,0.40,6.40
30.00,9.20,10.00,1.38,0.66,0.24,6.90
33.00,9.30,26.00,1.62,0.62,0.33,6.60
34.00,9.40,27.00,2.29,0.64,0.28,6.30
34.00,9.40,27.00,2.13,0.62,0.33,6.10
38.00,9.40,32.00,1.78,0.64,0.28,6.20
44.00,9.50,32.00,1.15,0.61,0.33,9.10
36.00,9.70,26.00,2.83,0.65,0.34,6.20
36.00,9.70,25.00,2.51,0.69,0.25,6.00
37.30,9.80,34.00,3.70,0.68,0.29,6.20
38.00,9.70,33.00,3.20,0.65,0.36,6.00
21.00,9.00,9.00,1.21,0.77,0.11,5.60
25.00,9.50,45.00,4.79,0.72,0.12,7.80
34.00,9.40,36.00,2.58,0.62,0.36,5.80
35.00,9.50,37.00,2.42,0.60,0.42,5.50
35.00,9.35,36.00,1.60,0.61,0.35,6.20
35.00,9.35,38.00,0.00,0.44,1.20,5.80
27.00,9.70,33.00,2.12,0.58,0.37,6.60
40.00,9.70,31.00,2.23,0.59,0.34,6.90
42.00,9.60,48.00,1.74,0.51,0.76,7.20
50.00,9.60,51.00,2.42,0.58,0.44,6.80
43.00,9.30,20.00,1.53,0.56,0.41,6.90
45.00,9.30,24.00,2.04,0.57,0.40,7.10
50.00,9.30,34.00,1.21,0.54,0.55,6.90
51.00,9.50,34.00,1.98,0.59,0.41,6.70
52.00,9.60,44.00,3.09,0.62,0.36,6.70
55.00,9.70,46.00,2.56,0.60,0.38,6.90
42.00,9.20,18.00,2.13,0.62,0.34,5.60
42.00,9.20,21.00,1.52,0.61,0.36,5.60
39.00,9.10,22.00,1.56,0.62,0.36,5.60
33.00,9.00,36.00,1.23,0.57,0.50,6.70
49.00,9.70,46.00,2.80,0.58,0.48,5.60
48.00,9.30,25.00,3.08,0.56,0.58,5.40
